run,gen,alpha,mu,vol
1,10,768.489461,39.678,936.5984657870196
1,10,705.023352,38.389,841.6538016698113
1,10,597.878609,12.988,727.045764806461
1,10,869.795173,36.736,1065.523125061232
1,11,737.398723,44.85,888.6677900656193
1,11,717.778458,43.113,872.1977216299954
1,11,601.637249,38.141,750.3185132839751
1,11,645.659148,38.572,767.6933964237863
1,11,768.502157,41.403,935.9251320215801
1,11,705.023352,38.389,841.6538016698113
1,11,642.957768,35.872,763.4411859923753
1,11,768.489461,39.678,936.5984657870196
1,11,634.033635,34.908,743.2637089474138
1,11,689.217156,36.686,826.1707187393198
1,11,633.786099,35.189,767.3951203889949
1,11,859.918123,40.336,1054.6003956214033
1,11,1057.650232,43.59,1234.938737853682
1,11,637.390316,32.753,754.5443020535763
1,11,690.166806,33.882,829.2161681078938
1,11,704.948398,33.843,841.5060420940406
1,11,704.585987,18.612,831.2507894113155
1,11,717.800313,31.055,872.3559970883986
1,11,667.263319,26.343,795.2097218894588
1,11,665.635384,35.897,800.4998205331509
1,11,663.6759,20.514,871.8806418335074
1,11,780.541944,24.059,1025.2866327504257
1,11,1057.280331,39.916,1234.657334372902
1,11,749.461531,29.499,909.9461810936017
1,11,799.171292,41.75,980.8379060719593
1,11,775.485014,27.757,967.9891449500266
1,11,620.547256,29.607,742.4765394151193
1,11,626.537747,31.293,759.9891563909123
1,11,685.279259,30.563,816.864163854205
1,11,1054.898007,18.076,1207.455690853146
1,11,622.52054,27.666,742.2183258792523
1,11,691.573156,42.309,828.1289901345064
1,12,737.398723,44.85,888.6677900656193
1,12,691.573156,42.309,828.1289901345064
1,12,717.778458,43.113,872.1977216299954
1,12,601.637249,38.141,750.3185132839751
1,12,645.659148,38.572,767.6933964237863
1,12,768.502157,41.403,935.9251320215801
1,12,799.171292,41.75,980.8379060719593
1,12,705.023352,38.389,841.6538016698113
1,12,642.957768,35.872,763.4411859923753
1,12,768.489461,39.678,936.5984657870196
1,12,634.033635,34.908,743.2637089474138
1,12,689.217156,36.686,826.1707187393198
1,12,633.786099,35.189,767.3951203889949
1,12,665.635384,35.897,800.4998205331509
1,12,859.918123,40.336,1054.6003956214033
1,12,1057.650232,43.59,1234.938737853682
1,12,828.902617,42.155,1009.3386086783484
1,12,441.194977,19.863,576.2135440771298
1,12,818.749051,30.229,1034.9001451193074
1,12,646.849136,29.313,768.0222368773176
1,12,945.582162,21.595,1182.9018013399068
1,12,775.48626,21.28,957.6621761779808
1,12,874.610164,33.818,1069.3384035570139
1,12,717.800313,31.055,872.3559970883986
1,12,1172.11315,7.507,1422.581053182403
1,12,883.996867,22.946,1051.7302630763902
1,12,617.527325,21.587,758.5193262057549
1,12,611.136841,17.162,737.5782810637273
1,12,842.423884,40.49,1022.5873801048882
1,12,651.958995,34.507,743.444603238529
1,12,777.215854,22.245,966.1764721138557
1,12,690.168538,25.232,829.2186408693791
1,13,737.398723,44.85,888.6677900656193
1,13,691.573156,42.309,828.1289901345064
1,13,717.778458,43.113,872.1977216299954
1,13,601.637249,38.141,750.3185132839751
1,13,645.659148,38.572,767.6933964237863
1,13,768.502157,41.403,935.9251320215801
1,13,799.171292,41.75,980.8379060719593
1,13,828.902617,42.155,1009.3386086783484
1,13,705.023352,38.389,841.6538016698113
1,13,642.957768,35.872,763.4411859923753
1,13,768.489461,39.678,936.5984657870196
1,13,634.033635,34.908,743.2637089474138
1,13,689.217156,36.686,826.1707187393198
1,13,633.786099,35.189,767.3951203889949
1,13,665.635384,35.897,800.4998205331509
1,13,842.423884,40.49,1022.5873801048882
1,13,782.740147,21.082,942.7530068524891
1,13,689.484112,35.01,843.8546686496201
1,13,640.971554,26.35,771.9797670067128
1,13,685.279259,30.563,816.864163854205
1,13,799.283406,26.077,980.98277347202
1,13,617.527325,21.587,758.5193262057549
1,13,829.652693,33.448,1027.3082729271218
1,13,609.327651,28.459,746.6634344903234
1,13,667.112956,29.672,807.5922753839419
1,13,753.454193,41.996,871.9356627713598
1,13,916.199954,22.395,1114.7695357264085
1,13,770.58949,22.746,963.7109799141296
1,13,620.265844,26.258,699.2451741718901
1,13,1046.515247,25.302,1291.8950881408232
1,13,1147.857201,16.716,1303.953794712845
1,13,1192.773851,19.575,1547.7439966002394
1,14,737.398723,44.85,888.6677900656193
1,14,691.573156,42.309,828.1289901345064
1,14,717.778458,43.113,872.1977216299954
1,14,753.454193,41.996,871.9356627713598
1,14,601.637249,38.141,750.3185132839751
1,14,645.659148,38.572,767.6933964237863
1,14,768.502157,41.403,935.9251320215801
1,14,799.171292,41.75,980.8379060719593
1,14,828.902617,42.155,1009.3386086783484
1,14,705.023352,38.389,841.6538016698113
1,14,642.957768,35.872,763.4411859923753
1,14,768.489461,39.678,936.5984657870196
1,14,634.033635,34.908,743.2637089474138
1,14,689.217156,36.686,826.1707187393198
1,14,633.786099,35.189,767.3951203889949
1,14,665.635384,35.897,800.4998205331509
1,14,869.892653,29.134,1065.4951232767398
1,14,651.958995,34.507,743.444603238529
1,14,925.025595,15.91,1122.7778316937026
1,14,829.589498,37.345,1017.6881533967639
1,14,602.193198,31.667,750.3150143045309
1,14,633.73794,24.605,743.093727650448
1,14,667.112956,29.672,807.5922753839419
1,14,634.582997,33.409,750.2626939936306
1,14,714.433286,17.994,852.5273616037488
1,14,1127.676334,45.052,1357.8715365393211
1,14,690.008264,20.398,874.4335159943587
1,14,683.017495,20.917,859.1128325691321
1,14,617.517684,25.336,750.8743208294596
1,14,794.515966,30.22,935.8204571476087
1,14,688.738365,17.701,859.9869214782457
1,14,691.575484,42.49,827.9397049018373
1,15,737.398723,44.85,888.6677900656193
1,15,691.575484,42.49,827.9397049018373
1,15,691.573156,42.309,828.1289901345064
1,15,717.778458,43.113,872.1977216299954
1,15,753.454193,41.996,871.9356627713598
1,15,601.637249,38.141,750.3185132839751
1,15,645.659148,38.572,767.6933964237863
1,15,768.502157,41.403,935.9251320215801
1,15,799.171292,41.75,980.8379060719593
1,15,828.902617,42.155,1009.3386086783484
1,15,705.023352,38.389,841.6538016698113
1,15,642.957768,35.872,763.4411859923753
1,15,768.489461,39.678,936.5984657870196
1,15,634.033635,34.908,743.2637089474138
1,15,689.217156,36.686,826.1707187393198
1,15,633.786099,35.189,767.3951203889949
1,15,856.789996,32.786,1004.4852805065135
